[event] core 收到 Typing："L" | revision 89 | 核心动作 87 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 91 | 核心动作 89 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 92 | 核心动作 90 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 93 | 核心动作 91 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 94 | 核心动作 92 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 95 | 核心动作 93 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 96 | 核心动作 94 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 98 | 核心动作 96 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 99 | 核心动作 97 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 100 | 核心动作 98 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 101 | 核心动作 99 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 102 | 核心动作 100 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 103 | 核心动作 101 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 105 | 核心动作 103 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 106 | 核心动作 104 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 107 | 核心动作 105 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 108 | 核心动作 106 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 109 | 核心动作 107 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 110 | 核心动作 108 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 112 | 核心动作 110 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 113 | 核心动作 111 | 预编辑事件 0 | IME 提交 0
