[event] core 收到 Typing："S" | revision 94 | 核心动作 92 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 95 | 核心动作 93 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 96 | 核心动作 94 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 97 | 核心动作 95 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 98 | 核心动作 96 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 100 | 核心动作 98 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 101 | 核心动作 99 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 102 | 核心动作 100 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 103 | 核心动作 101 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 104 | 核心动作 102 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 106 | 核心动作 104 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 107 | 核心动作 105 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 108 | 核心动作 106 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 109 | 核心动作 107 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 110 | 核心动作 108 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 112 | 核心动作 110 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 113 | 核心动作 111 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 114 | 核心动作 112 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 115 | 核心动作 113 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 116 | 核心动作 114 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 118 | 核心动作 116 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 119 | 核心动作 117 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 120 | 核心动作 118 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 121 | 核心动作 119 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 122 | 核心动作 120 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 124 | 核心动作 122 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 125 | 核心动作 123 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 126 | 核心动作 124 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 127 | 核心动作 125 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 128 | 核心动作 126 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 130 | 核心动作 128 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 131 | 核心动作 129 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 132 | 核心动作 130 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 133 | 核心动作 131 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 134 | 核心动作 132 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 136 | 核心动作 134 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 137 | 核心动作 135 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 138 | 核心动作 136 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 139 | 核心动作 137 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 140 | 核心动作 138 | 预编辑事件 0 | IME 提交 0
